Item,Link,Quantity,Cost w/o VAT,Supplier,Transportation fee,Total cost w/o VAT,2458.29,,,
Hutschienen Netzteil für Schütz 24V,https://www.aliexpress.com/item/1005010515354755.html?spm=a2g0o.cart.0.0.33374ae4ldSuVt&mp=1&pdp_npi=6%40dis%21EUR%21EUR%205.19%21EUR%205.19%21%21EUR%205.19%21%21%21%402103890117730743065944528e571e%2112000052666978514%21ct%21DE%213749634846%21%213%210%21,3,€5.19,Aliexpress,,€15.57,,,,Power supply 24v for Schütz
ESP32 Plus Kit,https://www.aliexpress.com/item/1005007820190456.html?spm=a2g0o.cart.0.0.33374ae4ldSuVt&mp=1&pdp_npi=6%40dis%21EUR%21EUR%207.02%21EUR%206.49%21%21EUR%206.49%21%21%21%402103890117730743065944528e571e%2112000042325137322%21ct%21DE%213749634846%21%214%210%21,4,€6.49,Aliexpress,,€25.96,,,,W5500 Module für Network
Laser Distance,https://www.aliexpress.com/item/1005009250844924.html?spm=a2g0o.cart.0.0.33374ae4ldSuVt&mp=1&pdp_npi=6%40dis%21EUR%21EUR%2020.79%21EUR%2020.79%21%21EUR%2019.51%21%21%21%40211b819117730745922156150e9d48%2112000048478391304%21ct%21DE%213749634846%21%212%210%21,2,€20.77,Aliexpress,€6.00,€41.54,,,,RJ45 Port
Box for Control large,https://de.aliexpress.com/item/1005005480970197.html?spm=a2g0o.productlist.main.10.4820ZEz8ZEz84h&algo_pvid=ba4568d4-3484-42a2-b0df-725be235151d&algo_exp_id=ba4568d4-3484-42a2-b0df-725be235151d-9&pdp_ext_f=%7B%22order%22%3A%228664%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%212.68%212.59%21%21%2120.87%2120.17%21%40211b441e17730747018711025ec812%2112000033258291320%21sea%21DE%213749634846%21X%211%210%21n_tag%3A-29919%3Bd%3Ac55857b0%3Bm03_new_user%3A-29895&curPageLogUid=Wb5HhpVQlF6D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005480970197%7C_p_origin_prod%3A,2,€11.29,Aliexpress,,€22.58,,,,Power input via Cable Through hole
Box for sensor small,https://www.aliexpress.com/item/1005005480970197.html?spm=a2g0o.detail.0.0.1af06a8c9sDCLz&mp=1&pdp_npi=6%40dis%21EUR%21EUR%205.04%21EUR%204.89%21%21EUR%204.89%21%21%21%40211b618e17730747895703468e8549%2112000033258291324%21ct%21DE%213749634846%21%214%210%21,4,€4.89,Aliexpress,,€19.56,,,,
Ethernet Ports for Sensor Boxes,https://www.aliexpress.com/item/1005009884563859.html?spm=a2g0o.detail.0.0.7f5c5fc6WCjEBe&mp=1&pdp_npi=6%40dis%21EUR%21EUR%204.05%21EUR%203.79%21%21EUR%203.79%21%21%21%402103834817730750627661639edb32%2112000052676830252%21ct%21DE%213749634846%21%214%210%21,4,€3.79,Aliexpress,,€15.16,,,,
Terminal Blocks,https://de.aliexpress.com/item/1005004501344762.html?spm=a2g0o.productlist.main.10.177beZeqeZeqQW&algo_pvid=61f8830b-2280-4339-9a00-087c98d9c51e&algo_exp_id=61f8830b-2280-4339-9a00-087c98d9c51e-9&pdp_ext_f=%7B%22order%22%3A%2244%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%218.66%218.49%21%21%219.73%219.54%21%40211b813b17730765861145420e747b%2112000029384204142%21sea%21DE%213749634846%21X%211%210%21n_tag%3A-29919%3Bd%3Ac55857b0%3Bm03_new_user%3A-29895&curPageLogUid=UBmoCmYr6PxX&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005004501344762%7C_p_origin_prod%3A,1,€8.49,Aliexpress,,€8.49,,,Controlbox für Verfahren mit Rot oder Grünen buttons,
,,,,,,,,,,Manual buttons
,,,,,,,,,,ESP
,,,,,,,,,,W5500
,,,,,,,,,,Network 
,,,,,,,,,,RJ45 Port
,,,,,,,,,,Power supply 
,,,,,,,,,,Power input
,,,,,,,,,,SicherungsKasten für den Motor?
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,Ethernet Kabel zur Laufkatze,
,,,,,,,,,Stromkabel zur Laufkatze,
,,,,,,,,,,
,,,,,,,,,Controlbox für Laser Sensor Unit,
,,,,,,,,,,Sensor Module
,,,,,,,,,,ESP
,,,,,,,,,,W5500
,,,,,,,,,,Network 
,,,,,,,,,,RJ45 Port
,,,,,,,,,,Power supply 
,,,,,,,,,,Power input
,,,,,,,,,,Sicherung
